name	mis	
100X_10/report.txt	     1.13                  
100X_1/report.txt	     0.12                 
100X_2/report.txt	     0.02                 
100X_3/report.txt	     0.39                 
100X_4/report.txt	     0.02                 
100X_5/report.txt	     0.02                 
100X_6/report.txt	     0.22                 
100X_7/report.txt	     0.02                 
100X_8/report.txt	     0.81                 
100X_9/report.txt	     1.15                 
150X_10/report.txt	     0.02                  
150X_1/report.txt	     0.27                 
150X_2/report.txt	     0.32                 
150X_3/report.txt	     0.51                 
150X_4/report.txt	     0.02                 
150X_5/report.txt	     0.17                 
150X_6/report.txt	     0.12                 
150X_7/report.txt	     0.59                 
150X_8/report.txt	     0.49                 
150X_9/report.txt	     0.78                 
15X_10/report.txt	     45.36                
15X_2/report.txt	     44.41               
15X_3/report.txt	     44.39               
15X_4/report.txt	     49.96               
15X_5/report.txt	     53.65               
15X_6/report.txt	     48.92               
15X_7/report.txt	     52.54               
15X_8/report.txt	     52.42               
15X_9/report.txt	     46.92               
200X_10/report.txt	     1.27                  
200X_1/report.txt	     0.81                 
200X_2/report.txt	     0.22                 
200X_3/report.txt	     0.05                 
200X_4/report.txt	     0.02                 
200X_5/report.txt	     0.32                 
200X_6/report.txt	     1.03                 
200X_7/report.txt	     0.76                 
200X_8/report.txt	     0.17                 
200X_9/report.txt	     0.46                 
20X_10/report.txt	     16.11                
20X_1/report.txt	     13.33               
20X_2/report.txt	     18.66               
20X_3/report.txt	     16.11               
20X_4/report.txt	     13.67               
20X_5/report.txt	     17.04               
20X_6/report.txt	     20.85               
20X_7/report.txt	     17.66               
20X_8/report.txt	     13.71               
20X_9/report.txt	     13.44               
250X_10/report.txt	     0.54                  
250X_1/report.txt	     1.30                 
250X_2/report.txt	     0.88                 
250X_3/report.txt	     1.13                 
250X_4/report.txt	     1.10                 
250X_5/report.txt	     1.15                 
250X_6/report.txt	     0.54                 
250X_7/report.txt	     0.02                 
250X_8/report.txt	     0.22                 
250X_9/report.txt	     0.44                 
25X_10/report.txt	     5.15                 
25X_1/report.txt	     6.47                
25X_2/report.txt	     4.62                
25X_3/report.txt	     8.23                
25X_4/report.txt	     4.25                
25X_5/report.txt	     4.99                
25X_6/report.txt	     4.92                
25X_7/report.txt	     7.40                
25X_8/report.txt	     5.15                
25X_9/report.txt	     3.15                
300X_10/report.txt	     0.98                  
300X_1/report.txt	     0.27                 
300X_2/report.txt	     0.91                 
300X_3/report.txt	     0.91                 
300X_4/report.txt	     1.35                 
300X_5/report.txt	     0.02                 
300X_6/report.txt	     0.39                 
300X_7/report.txt	     0.78                 
300X_8/report.txt	     0.81                 
300X_9/report.txt	     0.02                 
30X_10/report.txt	     1.54                 
30X_1/report.txt	     2.12                
30X_2/report.txt	     1.89                
30X_3/report.txt	     2.18                
30X_4/report.txt	     1.67                
30X_5/report.txt	     0.39                
30X_6/report.txt	     0.47                
30X_7/report.txt	     0.42                
30X_8/report.txt	     1.62                
30X_9/report.txt	     0.34                
35X_10/report.txt	     3.83                 
35X_1/report.txt	     2.68                
35X_2/report.txt	     3.04                
35X_3/report.txt	     2.46                
35X_4/report.txt	     0.64                
35X_5/report.txt	     2.35                
35X_6/report.txt	     3.07                
35X_7/report.txt	     1.69                
35X_8/report.txt	     1.35                
35X_9/report.txt	     0.12                
40X_10/report.txt	     0.02                 
40X_1/report.txt	     0.02                
40X_2/report.txt	     0.44                
40X_3/report.txt	     1.03                
40X_4/report.txt	     0.02                
40X_5/report.txt	     0.51                
40X_6/report.txt	     1.98                
40X_7/report.txt	     1.52                
40X_8/report.txt	     1.35                
40X_9/report.txt	     0.02                
45X_10/report.txt	     0.02                 
45X_1/report.txt	     0.49                
45X_2/report.txt	     0.29                
45X_3/report.txt	     0.07                
45X_4/report.txt	     0.02                
45X_5/report.txt	     0.83                
45X_6/report.txt	     0.02                
45X_7/report.txt	     0.39                
45X_8/report.txt	     1.42                
45X_9/report.txt	     0.02                
50X_10/report.txt	     0.02                 
50X_1/report.txt	     0.02                
50X_2/report.txt	     0.17                
50X_3/report.txt	     0.02                
50X_4/report.txt	     0.02                
50X_5/report.txt	     0.02                
50X_6/report.txt	     0.17                
50X_7/report.txt	     0.02                
50X_8/report.txt	     0.02                
50X_9/report.txt	     0.02                
55X_10/report.txt	     0.37                 
55X_1/report.txt	     0.02                
55X_2/report.txt	     0.02                
55X_3/report.txt	     0.37                
55X_4/report.txt	     0.02                
55X_5/report.txt	     0.02                
