Name	mis
100X_10_paramSensi/report.txt	     0.15                             
100X_1_paramSensi/report.txt	     0.27                            
100X_2_paramSensi/report.txt	     1.13                            
100X_3_paramSensi/report.txt	     0.64                            
100X_4_paramSensi/report.txt	     0.81                            
100X_5_paramSensi/report.txt	     0.02                            
100X_6_paramSensi/report.txt	     0.73                            
100X_7_paramSensi/report.txt	     0.59                            
100X_8_paramSensi/report.txt	     0.51                            
100X_9_paramSensi/report.txt	     0.93                            
150X_10_paramSensi/report.txt	     0.61                             
150X_1_paramSensi/report.txt	     0.39                            
150X_2_paramSensi/report.txt	     0.59                            
150X_3_paramSensi/report.txt	     1.03                            
150X_4_paramSensi/report.txt	     0.76                            
150X_5_paramSensi/report.txt	     0.46                            
150X_6_paramSensi/report.txt	     0.02                            
150X_7_paramSensi/report.txt	     0.02                            
150X_8_paramSensi/report.txt	     0.54                            
150X_9_paramSensi/report.txt	     0.02
15X_10/report.txt	     45.36                
15X_2/report.txt	     44.41               
15X_3/report.txt	     44.39               
15X_4/report.txt	     49.96               
15X_5/report.txt	     53.65               
15X_6/report.txt	     48.92               
15X_7/report.txt	     52.54               
15X_8/report.txt	     52.42               
15X_9/report.txt	     46.92                            
200X_10_paramSensi/report.txt	     0.46                             
200X_1_paramSensi/report.txt	     0.02                            
200X_2_paramSensi/report.txt	     0.69                            
200X_3_paramSensi/report.txt	     0.15                            
200X_4_paramSensi/report.txt	     1.03                            
200X_5_paramSensi/report.txt	     0.22                            
200X_6_paramSensi/report.txt	     0.83                            
200X_7_paramSensi/report.txt	     0.10                            
200X_8_paramSensi/report.txt	     0.95                            
200X_9_paramSensi/report.txt	     0.15 
20X_10/report.txt	     16.11                
20X_1/report.txt	     13.33               
20X_2/report.txt	     18.66               
20X_3/report.txt	     16.11               
20X_4/report.txt	     13.67               
20X_5/report.txt	     17.04               
20X_6/report.txt	     20.85               
20X_7/report.txt	     17.66               
20X_8/report.txt	     13.71               
20X_9/report.txt	     13.44                            
250X_10_paramSensi/report.txt	     0.73                             
250X_1_paramSensi/report.txt	     0.20                            
250X_2_paramSensi/report.txt	     0.64                            
250X_3_paramSensi/report.txt	     1.05                            
250X_4_paramSensi/report.txt	     0.02                            
250X_5_paramSensi/report.txt	     0.17                            
250X_6_paramSensi/report.txt	     0.17                            
250X_7_paramSensi/report.txt	     1.03                            
250X_8_paramSensi/report.txt	     0.22                            
250X_9_paramSensi/report.txt	     0.10
25X_10/report.txt	     5.15                 
25X_1/report.txt	     6.47                
25X_2/report.txt	     4.62                
25X_3/report.txt	     8.23                
25X_4/report.txt	     4.25                
25X_5/report.txt	     4.99                
25X_6/report.txt	     4.92                
25X_7/report.txt	     7.40                
25X_8/report.txt	     5.15                
25X_9/report.txt	     3.15                             
300X_10_paramSensi/report.txt	     1.64                             
300X_1_paramSensi/report.txt	     0.02                            
300X_2_paramSensi/report.txt	     1.22                            
300X_3_paramSensi/report.txt	     0.05                            
300X_4_paramSensi/report.txt	     0.27                            
300X_5_paramSensi/report.txt	     0.88                            
300X_6_paramSensi/report.txt	     0.37                            
300X_7_paramSensi/report.txt	     1.86                            
300X_8_paramSensi/report.txt	     0.39                            
300X_9_paramSensi/report.txt	     1.05  
30X_10/report.txt	     1.54                 
30X_1/report.txt	     2.12                
30X_2/report.txt	     1.89                
30X_3/report.txt	     2.18                
30X_4/report.txt	     1.67                
30X_5/report.txt	     0.39                
30X_6/report.txt	     0.47                
30X_7/report.txt	     0.42                
30X_8/report.txt	     1.62                
30X_9/report.txt	     0.34                           
35X_10_paramSensi/report.txt	     0.69                            
35X_1_paramSensi/report.txt	     0.69                           
35X_2_paramSensi/report.txt	     1.37                           
35X_3_paramSensi/report.txt	     0.02                           
35X_4_paramSensi/report.txt	     0.78                           
35X_5_paramSensi/report.txt	     1.18                           
35X_6_paramSensi/report.txt	     1.20                           
35X_7_paramSensi/report.txt	     0.61                           
35X_8_paramSensi/report.txt	     0.79                           
35X_9_paramSensi/report.txt	     0.74                           
40X_10_paramSensi/report.txt	     0.78                            
40X_1_paramSensi/report.txt	     2.25                           
40X_2_paramSensi/report.txt	     0.73                           
40X_3_paramSensi/report.txt	     0.02                           
40X_4_paramSensi/report.txt	     0.02                           
40X_5_paramSensi/report.txt	     0.27                           
40X_6_paramSensi/report.txt	     1.44                           
40X_7_paramSensi/report.txt	     0.86                           
40X_8_paramSensi/report.txt	     0.02                           
40X_9_paramSensi/report.txt	     0.02                           
45X_10_paramSensi/report.txt	     0.02                            
45X_1_paramSensi/report.txt	     0.46                           
45X_2_paramSensi/report.txt	     0.29                           
45X_3_paramSensi/report.txt	     0.39                           
45X_4_paramSensi/report.txt	     0.02                           
45X_5_paramSensi/report.txt	     0.12                           
45X_6_paramSensi/report.txt	     0.27                           
45X_7_paramSensi/report.txt	     0.02                           
45X_8_paramSensi/report.txt	     0.02                           
45X_9_paramSensi/report.txt	     0.02                           
50X_10_paramSensi/report.txt	     0.76                            
50X_1_paramSensi/report.txt	     0.02                           
50X_2_paramSensi/report.txt	     0.83                           
50X_3_paramSensi/report.txt	     0.15                           
50X_4_paramSensi/report.txt	     0.17                           
50X_5_paramSensi/report.txt	     0.66                           
50X_6_paramSensi/report.txt	     0.07                           
50X_7_paramSensi/report.txt	     0.76                           
50X_8_paramSensi/report.txt	     0.76                           
50X_9_paramSensi/report.txt	     0.76                           
55X_10_paramSensi/report.txt	     0.02                            
55X_1_paramSensi/report.txt	     0.29                           
55X_2_paramSensi/report.txt	     0.05                           
55X_3_paramSensi/report.txt	     0.07                           
55X_4_paramSensi/report.txt	     0.02                           
55X_5_paramSensi/report.txt	     0.02                           
55X_6_paramSensi/report.txt	     0.42                           
55X_7_paramSensi/report.txt	     0.32                           
55X_8_paramSensi/report.txt	     0.27                           
55X_9_paramSensi/report.txt	     0.15                           
60X_10_paramSensi/report.txt	     0.20                            
60X_1_paramSensi/report.txt	     0.05                           
60X_2_paramSensi/report.txt	     0.02                           
60X_3_paramSensi/report.txt	     0.10                           
60X_4_paramSensi/report.txt	     0.32                           
60X_5_paramSensi/report.txt	     0.02                           
60X_6_paramSensi/report.txt	     0.39                           
